RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.001753 | helloweb-687c75f954-sf8vg
200 | 0.001855 | helloweb-687c75f954-sf8vg
200 | 0.001944 | helloweb-687c75f954-nshb6
200 | 0.350793 | helloweb-687c75f954-nshb6
200 | 0.590434 | helloweb-687c75f954-98nct
200 | 0.588438 | helloweb-687c75f954-98nct
200 | 0.588322 | helloweb-687c75f954-sf8vg
200 | 0.002028 | helloweb-687c75f954-98nct
200 | 0.351637 | helloweb-687c75f954-sf8vg
200 | 0.588269 | helloweb-687c75f954-sf8vg
200 | 0.588649 | helloweb-687c75f954-sf8vg
200 | 0.588532 | helloweb-687c75f954-nshb6
200 | 0.350087 | helloweb-687c75f954-nshb6
200 | 0.352313 | helloweb-687c75f954-sf8vg
200 | 0.588356 | helloweb-687c75f954-nshb6
200 | 0.350903 | helloweb-687c75f954-nshb6
200 | 0.004429 | helloweb-687c75f954-98nct
200 | 0.350550 | helloweb-687c75f954-sf8vg
200 | 0.590633 | helloweb-687c75f954-98nct
200 | 0.350168 | helloweb-687c75f954-sf8vg
200 | 0.356108 | helloweb-687c75f954-nshb6
200 | 0.350244 | helloweb-687c75f954-nshb6
200 | 0.588643 | helloweb-687c75f954-98nct
200 | 0.002070 | helloweb-687c75f954-sf8vg
200 | 0.588277 | helloweb-687c75f954-sf8vg
200 | 0.589445 | helloweb-687c75f954-nshb6
200 | 0.350353 | helloweb-687c75f954-98nct
200 | 0.002040 | helloweb-687c75f954-98nct
200 | 0.588731 | helloweb-687c75f954-nshb6
200 | 0.350926 | helloweb-687c75f954-nshb6
200 | 0.350221 | helloweb-687c75f954-sf8vg
200 | 0.003606 | helloweb-687c75f954-sf8vg
200 | 0.588436 | helloweb-687c75f954-sf8vg
200 | 0.588552 | helloweb-687c75f954-nshb6
200 | 0.001623 | helloweb-687c75f954-nshb6
200 | 0.350567 | helloweb-687c75f954-98nct
200 | 0.352538 | helloweb-687c75f954-nshb6
200 | 0.588297 | helloweb-687c75f954-nshb6
200 | 0.588363 | helloweb-687c75f954-sf8vg
200 | 0.349915 | helloweb-687c75f954-nshb6
200 | 0.350945 | helloweb-687c75f954-nshb6
200 | 0.002745 | helloweb-687c75f954-sf8vg
200 | 0.002114 | helloweb-687c75f954-nshb6
200 | 0.588626 | helloweb-687c75f954-sf8vg
200 | 0.349907 | helloweb-687c75f954-98nct
200 | 0.353998 | helloweb-687c75f954-98nct
200 | 0.591070 | helloweb-687c75f954-98nct
200 | 0.594446 | helloweb-687c75f954-nshb6
200 | 0.592453 | helloweb-687c75f954-98nct
200 | 0.588518 | helloweb-687c75f954-sf8vg
200 | 0.003167 | helloweb-687c75f954-sf8vg
200 | 0.004217 | helloweb-687c75f954-sf8vg
200 | 0.588968 | helloweb-687c75f954-98nct
200 | 0.589668 | helloweb-687c75f954-98nct
200 | 0.001961 | helloweb-687c75f954-98nct
200 | 0.002530 | helloweb-687c75f954-sf8vg
200 | 0.001981 | helloweb-687c75f954-98nct
200 | 0.589178 | helloweb-687c75f954-98nct
200 | 0.350755 | helloweb-687c75f954-nshb6
200 | 0.002208 | helloweb-687c75f954-98nct
200 | 0.351410 | helloweb-687c75f954-sf8vg
200 | 0.002349 | helloweb-687c75f954-nshb6
200 | 0.001727 | helloweb-687c75f954-98nct
200 | 0.588123 | helloweb-687c75f954-98nct
200 | 0.350495 | helloweb-687c75f954-98nct
200 | 0.588658 | helloweb-687c75f954-sf8vg
200 | 0.588842 | helloweb-687c75f954-98nct
200 | 0.588526 | helloweb-687c75f954-98nct
200 | 0.001489 | helloweb-687c75f954-sf8vg
200 | 0.002227 | helloweb-687c75f954-nshb6
200 | 0.350185 | helloweb-687c75f954-sf8vg
200 | 0.588755 | helloweb-687c75f954-98nct
200 | 0.588774 | helloweb-687c75f954-sf8vg
200 | 0.588134 | helloweb-687c75f954-nshb6
200 | 0.350894 | helloweb-687c75f954-sf8vg
200 | 0.589384 | helloweb-687c75f954-98nct
200 | 0.591582 | helloweb-687c75f954-sf8vg
200 | 0.001920 | helloweb-687c75f954-98nct
200 | 0.588632 | helloweb-687c75f954-sf8vg
200 | 0.588058 | helloweb-687c75f954-nshb6
200 | 0.351746 | helloweb-687c75f954-sf8vg
200 | 0.002013 | helloweb-687c75f954-nshb6
200 | 0.001914 | helloweb-687c75f954-nshb6
200 | 0.351064 | helloweb-687c75f954-98nct
200 | 0.350992 | helloweb-687c75f954-sf8vg
200 | 0.589746 | helloweb-687c75f954-nshb6
200 | 0.002896 | helloweb-687c75f954-nshb6
200 | 0.001996 | helloweb-687c75f954-nshb6
200 | 0.001650 | helloweb-687c75f954-sf8vg
200 | 0.589308 | helloweb-687c75f954-98nct
200 | 0.001839 | helloweb-687c75f954-nshb6
200 | 0.588655 | helloweb-687c75f954-98nct
200 | 0.589184 | helloweb-687c75f954-98nct
200 | 0.588477 | helloweb-687c75f954-98nct
200 | 0.002053 | helloweb-687c75f954-nshb6
200 | 0.588222 | helloweb-687c75f954-98nct
200 | 0.588795 | helloweb-687c75f954-98nct
200 | 0.350338 | helloweb-687c75f954-sf8vg
200 | 0.588544 | helloweb-687c75f954-nshb6
200 | 0.588928 | helloweb-687c75f954-sf8vg
200 | 0.589210 | helloweb-687c75f954-sf8vg
200 | 0.349928 | helloweb-687c75f954-sf8vg
200 | 0.002584 | helloweb-687c75f954-nshb6
200 | 0.349960 | helloweb-687c75f954-nshb6
200 | 0.355332 | helloweb-687c75f954-sf8vg
200 | 0.002181 | helloweb-687c75f954-98nct
200 | 0.591790 | helloweb-687c75f954-sf8vg
200 | 0.589927 | helloweb-687c75f954-98nct
200 | 0.001717 | helloweb-687c75f954-nshb6
200 | 0.588559 | helloweb-687c75f954-sf8vg
200 | 0.002289 | helloweb-687c75f954-nshb6
200 | 0.350499 | helloweb-687c75f954-98nct
200 | 0.350446 | helloweb-687c75f954-98nct
200 | 0.351729 | helloweb-687c75f954-sf8vg
200 | 0.001865 | helloweb-687c75f954-sf8vg
200 | 0.352033 | helloweb-687c75f954-nshb6
200 | 0.002510 | helloweb-687c75f954-sf8vg
200 | 0.002121 | helloweb-687c75f954-nshb6
200 | 0.007480 | helloweb-687c75f954-nshb6
200 | 0.351935 | helloweb-687c75f954-98nct
200 | 0.003038 | helloweb-687c75f954-nshb6
200 | 0.350304 | helloweb-687c75f954-98nct
200 | 0.588610 | helloweb-687c75f954-sf8vg
200 | 0.589288 | helloweb-687c75f954-98nct
200 | 0.588580 | helloweb-687c75f954-sf8vg
200 | 0.588653 | helloweb-687c75f954-nshb6
200 | 0.592436 | helloweb-687c75f954-98nct
200 | 0.002150 | helloweb-687c75f954-98nct
200 | 0.350554 | helloweb-687c75f954-98nct
200 | 0.588174 | helloweb-687c75f954-98nct
200 | 0.588812 | helloweb-687c75f954-98nct
200 | 0.350080 | helloweb-687c75f954-nshb6
200 | 0.001630 | helloweb-687c75f954-sf8vg
200 | 0.350270 | helloweb-687c75f954-nshb6
200 | 0.588523 | helloweb-687c75f954-sf8vg
200 | 0.004188 | helloweb-687c75f954-sf8vg
200 | 0.350501 | helloweb-687c75f954-nshb6
200 | 0.350105 | helloweb-687c75f954-nshb6
200 | 0.587975 | helloweb-687c75f954-98nct
200 | 0.350426 | helloweb-687c75f954-sf8vg
200 | 0.588907 | helloweb-687c75f954-sf8vg
200 | 0.589351 | helloweb-687c75f954-nshb6
200 | 0.349961 | helloweb-687c75f954-98nct
200 | 0.002319 | helloweb-687c75f954-sf8vg
200 | 0.350340 | helloweb-687c75f954-98nct
200 | 0.001851 | helloweb-687c75f954-nshb6
200 | 0.589903 | helloweb-687c75f954-sf8vg
200 | 0.352099 | helloweb-687c75f954-98nct
200 | 0.588753 | helloweb-687c75f954-98nct
200 | 0.349955 | helloweb-687c75f954-sf8vg
200 | 0.002521 | helloweb-687c75f954-sf8vg
200 | 0.588521 | helloweb-687c75f954-98nct
200 | 0.003119 | helloweb-687c75f954-sf8vg
200 | 0.001480 | helloweb-687c75f954-nshb6
200 | 0.589607 | helloweb-687c75f954-98nct
200 | 0.001952 | helloweb-687c75f954-98nct
200 | 0.594067 | helloweb-687c75f954-98nct
200 | 0.350326 | helloweb-687c75f954-sf8vg
200 | 0.350124 | helloweb-687c75f954-98nct
200 | 0.002983 | helloweb-687c75f954-sf8vg
200 | 0.005147 | helloweb-687c75f954-nshb6
200 | 0.001839 | helloweb-687c75f954-nshb6
200 | 0.588373 | helloweb-687c75f954-98nct
200 | 0.588141 | helloweb-687c75f954-nshb6
200 | 0.001724 | helloweb-687c75f954-sf8vg
200 | 0.350237 | helloweb-687c75f954-98nct
200 | 0.001713 | helloweb-687c75f954-sf8vg
200 | 0.002611 | helloweb-687c75f954-nshb6
200 | 0.588272 | helloweb-687c75f954-98nct
200 | 0.588427 | helloweb-687c75f954-nshb6
