RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.587538 | helloweb-687c75f954-nfsr4
200 | 0.348487 | helloweb-687c75f954-hppxx
200 | 0.587413 | helloweb-687c75f954-hppxx
200 | 0.588531 | helloweb-687c75f954-nfsr4
200 | 0.349103 | helloweb-687c75f954-hppxx
200 | 0.348777 | helloweb-687c75f954-hppxx
200 | 0.587608 | helloweb-687c75f954-hppxx
200 | 0.006321 | helloweb-687c75f954-hppxx
200 | 0.588227 | helloweb-687c75f954-nfsr4
200 | 0.348518 | helloweb-687c75f954-gqfpb
200 | 0.004020 | helloweb-687c75f954-hppxx
200 | 0.349076 | helloweb-687c75f954-nfsr4
200 | 0.348415 | helloweb-687c75f954-gqfpb
200 | 0.004168 | helloweb-687c75f954-nfsr4
200 | 0.004218 | helloweb-687c75f954-hppxx
200 | 0.349653 | helloweb-687c75f954-nfsr4
200 | 0.587160 | helloweb-687c75f954-hppxx
200 | 0.587488 | helloweb-687c75f954-hppxx
200 | 0.003368 | helloweb-687c75f954-hppxx
200 | 0.003431 | helloweb-687c75f954-hppxx
200 | 0.003936 | helloweb-687c75f954-nfsr4
200 | 0.348906 | helloweb-687c75f954-hppxx
200 | 0.587130 | helloweb-687c75f954-hppxx
200 | 0.348856 | helloweb-687c75f954-gqfpb
200 | 0.587877 | helloweb-687c75f954-nfsr4
200 | 0.591941 | helloweb-687c75f954-hppxx
200 | 0.349614 | helloweb-687c75f954-nfsr4
200 | 0.351116 | helloweb-687c75f954-gqfpb
200 | 0.587788 | helloweb-687c75f954-nfsr4
200 | 0.351398 | helloweb-687c75f954-nfsr4
200 | 0.588858 | helloweb-687c75f954-gqfpb
200 | 0.003935 | helloweb-687c75f954-gqfpb
200 | 0.349193 | helloweb-687c75f954-nfsr4
200 | 0.350527 | helloweb-687c75f954-nfsr4
200 | 0.588970 | helloweb-687c75f954-nfsr4
200 | 0.587649 | helloweb-687c75f954-nfsr4
200 | 0.351048 | helloweb-687c75f954-gqfpb
200 | 0.589267 | helloweb-687c75f954-hppxx
200 | 0.003824 | helloweb-687c75f954-gqfpb
200 | 0.352551 | helloweb-687c75f954-nfsr4
200 | 0.349105 | helloweb-687c75f954-gqfpb
200 | 0.590719 | helloweb-687c75f954-nfsr4
200 | 0.587330 | helloweb-687c75f954-gqfpb
200 | 0.349702 | helloweb-687c75f954-gqfpb
200 | 0.587820 | helloweb-687c75f954-nfsr4
200 | 0.349239 | helloweb-687c75f954-hppxx
200 | 0.350302 | helloweb-687c75f954-hppxx
200 | 0.586975 | helloweb-687c75f954-gqfpb
200 | 0.004082 | helloweb-687c75f954-nfsr4
200 | 0.588603 | helloweb-687c75f954-nfsr4
200 | 0.348488 | helloweb-687c75f954-gqfpb
200 | 0.587772 | helloweb-687c75f954-gqfpb
200 | 0.004248 | helloweb-687c75f954-nfsr4
200 | 0.348938 | helloweb-687c75f954-nfsr4
200 | 0.587806 | helloweb-687c75f954-gqfpb
200 | 0.349667 | helloweb-687c75f954-hppxx
200 | 0.004588 | helloweb-687c75f954-gqfpb
200 | 0.348468 | helloweb-687c75f954-hppxx
200 | 0.348622 | helloweb-687c75f954-nfsr4
200 | 0.003890 | helloweb-687c75f954-nfsr4
200 | 0.349348 | helloweb-687c75f954-nfsr4
200 | 0.589371 | helloweb-687c75f954-gqfpb
200 | 0.350453 | helloweb-687c75f954-gqfpb
200 | 0.349708 | helloweb-687c75f954-hppxx
200 | 0.348969 | helloweb-687c75f954-hppxx
200 | 0.349430 | helloweb-687c75f954-gqfpb
200 | 0.586963 | helloweb-687c75f954-nfsr4
200 | 0.348879 | helloweb-687c75f954-hppxx
200 | 0.351418 | helloweb-687c75f954-gqfpb
200 | 0.015074 | helloweb-687c75f954-hppxx
200 | 0.348982 | helloweb-687c75f954-nfsr4
200 | 0.589075 | helloweb-687c75f954-hppxx
200 | 0.587141 | helloweb-687c75f954-hppxx
200 | 0.348907 | helloweb-687c75f954-gqfpb
200 | 0.004707 | helloweb-687c75f954-nfsr4
200 | 0.349591 | helloweb-687c75f954-nfsr4
200 | 0.587477 | helloweb-687c75f954-nfsr4
200 | 0.349407 | helloweb-687c75f954-gqfpb
200 | 0.349690 | helloweb-687c75f954-hppxx
