RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.347808 | helloweb-687c75f954-9zkxc
200 | 0.349877 | helloweb-687c75f954-6cmxf
200 | 0.347771 | helloweb-687c75f954-9zkxc
200 | 0.001709 | helloweb-687c75f954-6cmxf
200 | 0.348034 | helloweb-687c75f954-9zkxc
200 | 0.347921 | helloweb-687c75f954-8wrm7
200 | 0.586932 | helloweb-687c75f954-6cmxf
200 | 0.587374 | helloweb-687c75f954-9zkxc
200 | 0.587087 | helloweb-687c75f954-8wrm7
200 | 0.348186 | helloweb-687c75f954-6cmxf
200 | 0.001878 | helloweb-687c75f954-9zkxc
200 | 0.001626 | helloweb-687c75f954-6cmxf
200 | 0.001960 | helloweb-687c75f954-8wrm7
200 | 0.001680 | helloweb-687c75f954-8wrm7
200 | 0.587189 | helloweb-687c75f954-8wrm7
200 | 0.001956 | helloweb-687c75f954-8wrm7
200 | 0.586992 | helloweb-687c75f954-9zkxc
200 | 0.002019 | helloweb-687c75f954-8wrm7
200 | 0.347923 | helloweb-687c75f954-9zkxc
200 | 0.348207 | helloweb-687c75f954-8wrm7
200 | 0.587213 | helloweb-687c75f954-9zkxc
200 | 0.348152 | helloweb-687c75f954-6cmxf
200 | 0.347963 | helloweb-687c75f954-9zkxc
200 | 0.587060 | helloweb-687c75f954-9zkxc
200 | 0.348018 | helloweb-687c75f954-6cmxf
200 | 0.001431 | helloweb-687c75f954-9zkxc
200 | 0.001621 | helloweb-687c75f954-8wrm7
200 | 0.348402 | helloweb-687c75f954-6cmxf
200 | 0.348758 | helloweb-687c75f954-8wrm7
200 | 0.587242 | helloweb-687c75f954-9zkxc
200 | 0.001659 | helloweb-687c75f954-9zkxc
200 | 0.587151 | helloweb-687c75f954-6cmxf
200 | 0.586986 | helloweb-687c75f954-9zkxc
200 | 0.001476 | helloweb-687c75f954-8wrm7
200 | 0.348243 | helloweb-687c75f954-9zkxc
200 | 0.348182 | helloweb-687c75f954-9zkxc
200 | 0.348239 | helloweb-687c75f954-8wrm7
200 | 0.587559 | helloweb-687c75f954-8wrm7
200 | 0.347670 | helloweb-687c75f954-9zkxc
200 | 0.350062 | helloweb-687c75f954-9zkxc
200 | 0.001751 | helloweb-687c75f954-8wrm7
200 | 0.347821 | helloweb-687c75f954-8wrm7
200 | 0.002391 | helloweb-687c75f954-8wrm7
200 | 0.001762 | helloweb-687c75f954-9zkxc
200 | 0.586935 | helloweb-687c75f954-8wrm7
200 | 0.001292 | helloweb-687c75f954-6cmxf
200 | 0.002069 | helloweb-687c75f954-6cmxf
200 | 0.347754 | helloweb-687c75f954-9zkxc
200 | 0.586799 | helloweb-687c75f954-8wrm7
200 | 0.587034 | helloweb-687c75f954-9zkxc
200 | 0.347973 | helloweb-687c75f954-8wrm7
200 | 0.347775 | helloweb-687c75f954-6cmxf
200 | 0.586924 | helloweb-687c75f954-6cmxf
200 | 0.348486 | helloweb-687c75f954-6cmxf
200 | 0.001760 | helloweb-687c75f954-6cmxf
200 | 0.586991 | helloweb-687c75f954-9zkxc
200 | 0.348339 | helloweb-687c75f954-6cmxf
200 | 0.002401 | helloweb-687c75f954-8wrm7
200 | 0.347903 | helloweb-687c75f954-9zkxc
200 | 0.001774 | helloweb-687c75f954-6cmxf
200 | 0.001645 | helloweb-687c75f954-8wrm7
200 | 0.002188 | helloweb-687c75f954-6cmxf
200 | 0.586898 | helloweb-687c75f954-8wrm7
200 | 0.347650 | helloweb-687c75f954-6cmxf
200 | 0.350139 | helloweb-687c75f954-9zkxc
200 | 0.001284 | helloweb-687c75f954-9zkxc
200 | 0.586717 | helloweb-687c75f954-8wrm7
200 | 0.347863 | helloweb-687c75f954-8wrm7
200 | 0.348287 | helloweb-687c75f954-6cmxf
200 | 0.001836 | helloweb-687c75f954-6cmxf
200 | 0.002721 | helloweb-687c75f954-6cmxf
200 | 0.001559 | helloweb-687c75f954-8wrm7
200 | 0.001671 | helloweb-687c75f954-6cmxf
200 | 0.587057 | helloweb-687c75f954-8wrm7
200 | 0.002154 | helloweb-687c75f954-6cmxf
200 | 0.586931 | helloweb-687c75f954-8wrm7
200 | 0.347734 | helloweb-687c75f954-6cmxf
200 | 0.587057 | helloweb-687c75f954-9zkxc
200 | 0.347979 | helloweb-687c75f954-8wrm7
200 | 0.587161 | helloweb-687c75f954-9zkxc
200 | 0.586975 | helloweb-687c75f954-6cmxf
200 | 0.001496 | helloweb-687c75f954-9zkxc
200 | 0.001757 | helloweb-687c75f954-8wrm7
200 | 0.347798 | helloweb-687c75f954-6cmxf
200 | 0.588409 | helloweb-687c75f954-8wrm7
200 | 0.347666 | helloweb-687c75f954-9zkxc
200 | 0.586893 | helloweb-687c75f954-9zkxc
200 | 0.001342 | helloweb-687c75f954-6cmxf
200 | 0.587048 | helloweb-687c75f954-8wrm7
200 | 0.001559 | helloweb-687c75f954-9zkxc
200 | 0.347685 | helloweb-687c75f954-9zkxc
200 | 0.349064 | helloweb-687c75f954-8wrm7
200 | 0.001627 | helloweb-687c75f954-6cmxf
200 | 0.348576 | helloweb-687c75f954-9zkxc
200 | 0.001389 | helloweb-687c75f954-6cmxf
200 | 0.001677 | helloweb-687c75f954-6cmxf
200 | 0.587277 | helloweb-687c75f954-8wrm7
200 | 0.001350 | helloweb-687c75f954-9zkxc
200 | 0.587749 | helloweb-687c75f954-6cmxf
200 | 0.001710 | helloweb-687c75f954-8wrm7
200 | 0.348057 | helloweb-687c75f954-8wrm7
200 | 0.347919 | helloweb-687c75f954-8wrm7
200 | 0.002047 | helloweb-687c75f954-6cmxf
200 | 0.001597 | helloweb-687c75f954-8wrm7
200 | 0.347857 | helloweb-687c75f954-9zkxc
200 | 0.001707 | helloweb-687c75f954-9zkxc
200 | 0.001757 | helloweb-687c75f954-8wrm7
200 | 0.587063 | helloweb-687c75f954-6cmxf
200 | 0.001675 | helloweb-687c75f954-9zkxc
200 | 0.001269 | helloweb-687c75f954-6cmxf
200 | 0.587018 | helloweb-687c75f954-8wrm7
200 | 0.348060 | helloweb-687c75f954-8wrm7
200 | 0.586699 | helloweb-687c75f954-9zkxc
200 | 0.002091 | helloweb-687c75f954-9zkxc
200 | 0.002090 | helloweb-687c75f954-6cmxf
200 | 0.001785 | helloweb-687c75f954-6cmxf
