RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.350326 | helloweb-687c75f954-nc4gp
200 | 0.588818 | helloweb-687c75f954-4r7d6
200 | 0.000888 | helloweb-687c75f954-ltgcr
200 | 0.000753 | helloweb-687c75f954-4r7d6
200 | 0.002258 | helloweb-687c75f954-ltgcr
200 | 0.588304 | helloweb-687c75f954-nc4gp
200 | 0.000751 | helloweb-687c75f954-nc4gp
200 | 0.589708 | helloweb-687c75f954-ltgcr
200 | 0.350629 | helloweb-687c75f954-ltgcr
200 | 0.000902 | helloweb-687c75f954-nc4gp
200 | 0.000820 | helloweb-687c75f954-4r7d6
200 | 0.350655 | helloweb-687c75f954-ltgcr
200 | 0.352536 | helloweb-687c75f954-ltgcr
200 | 0.350534 | helloweb-687c75f954-nc4gp
200 | 0.357455 | helloweb-687c75f954-4r7d6
200 | 0.350367 | helloweb-687c75f954-4r7d6
200 | 0.588135 | helloweb-687c75f954-ltgcr
200 | 0.000810 | helloweb-687c75f954-nc4gp
200 | 0.588073 | helloweb-687c75f954-nc4gp
200 | 0.350225 | helloweb-687c75f954-4r7d6
200 | 0.589138 | helloweb-687c75f954-4r7d6
200 | 0.000964 | helloweb-687c75f954-ltgcr
200 | 0.350347 | helloweb-687c75f954-4r7d6
200 | 0.000851 | helloweb-687c75f954-nc4gp
200 | 0.589105 | helloweb-687c75f954-nc4gp
200 | 0.002246 | helloweb-687c75f954-4r7d6
200 | 0.588636 | helloweb-687c75f954-ltgcr
200 | 0.588091 | helloweb-687c75f954-nc4gp
200 | 0.000942 | helloweb-687c75f954-ltgcr
200 | 0.350477 | helloweb-687c75f954-ltgcr
200 | 0.350794 | helloweb-687c75f954-nc4gp
200 | 0.350774 | helloweb-687c75f954-ltgcr
200 | 0.002507 | helloweb-687c75f954-ltgcr
200 | 0.589026 | helloweb-687c75f954-4r7d6
200 | 0.350750 | helloweb-687c75f954-4r7d6
200 | 0.589501 | helloweb-687c75f954-ltgcr
200 | 0.000822 | helloweb-687c75f954-ltgcr
200 | 0.589245 | helloweb-687c75f954-nc4gp
200 | 0.000840 | helloweb-687c75f954-4r7d6
200 | 0.000781 | helloweb-687c75f954-ltgcr
200 | 0.000791 | helloweb-687c75f954-ltgcr
200 | 0.350547 | helloweb-687c75f954-nc4gp
200 | 0.000818 | helloweb-687c75f954-nc4gp
200 | 0.588575 | helloweb-687c75f954-nc4gp
200 | 0.588425 | helloweb-687c75f954-ltgcr
200 | 0.350448 | helloweb-687c75f954-nc4gp
200 | 0.588542 | helloweb-687c75f954-ltgcr
200 | 0.001652 | helloweb-687c75f954-ltgcr
200 | 0.350587 | helloweb-687c75f954-4r7d6
200 | 0.000992 | helloweb-687c75f954-nc4gp
200 | 0.002415 | helloweb-687c75f954-nc4gp
200 | 0.000786 | helloweb-687c75f954-nc4gp
