RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.352412 | helloweb-687c75f954-w9nth
200 | 0.592450 | helloweb-687c75f954-9cxss
200 | 0.002740 | helloweb-687c75f954-9cxss
200 | 0.590076 | helloweb-687c75f954-hjrqm
200 | 0.352351 | helloweb-687c75f954-9cxss
200 | 0.002108 | helloweb-687c75f954-9cxss
200 | 0.591459 | helloweb-687c75f954-hjrqm
200 | 0.002559 | helloweb-687c75f954-hjrqm
200 | 0.590193 | helloweb-687c75f954-hjrqm
200 | 0.002256 | helloweb-687c75f954-w9nth
200 | 0.590742 | helloweb-687c75f954-9cxss
200 | 0.352794 | helloweb-687c75f954-hjrqm
200 | 0.352935 | helloweb-687c75f954-w9nth
200 | 0.590106 | helloweb-687c75f954-hjrqm
200 | 0.003170 | helloweb-687c75f954-hjrqm
200 | 0.002299 | helloweb-687c75f954-hjrqm
200 | 0.590296 | helloweb-687c75f954-9cxss
200 | 0.002226 | helloweb-687c75f954-w9nth
200 | 0.352245 | helloweb-687c75f954-w9nth
200 | 0.002640 | helloweb-687c75f954-w9nth
200 | 0.352183 | helloweb-687c75f954-w9nth
200 | 0.002036 | helloweb-687c75f954-hjrqm
200 | 0.590608 | helloweb-687c75f954-9cxss
200 | 0.590262 | helloweb-687c75f954-9cxss
200 | 0.001885 | helloweb-687c75f954-9cxss
200 | 0.003359 | helloweb-687c75f954-hjrqm
200 | 0.352142 | helloweb-687c75f954-w9nth
200 | 0.590596 | helloweb-687c75f954-hjrqm
200 | 0.352265 | helloweb-687c75f954-w9nth
200 | 0.352012 | helloweb-687c75f954-w9nth
200 | 0.590305 | helloweb-687c75f954-9cxss
200 | 0.590784 | helloweb-687c75f954-9cxss
200 | 0.590227 | helloweb-687c75f954-hjrqm
200 | 0.353066 | helloweb-687c75f954-hjrqm
200 | 0.352658 | helloweb-687c75f954-w9nth
200 | 0.002022 | helloweb-687c75f954-hjrqm
200 | 0.353117 | helloweb-687c75f954-w9nth
200 | 0.002064 | helloweb-687c75f954-hjrqm
200 | 0.590166 | helloweb-687c75f954-w9nth
200 | 0.590563 | helloweb-687c75f954-9cxss
200 | 0.590623 | helloweb-687c75f954-9cxss
200 | 0.002060 | helloweb-687c75f954-9cxss
200 | 0.590777 | helloweb-687c75f954-9cxss
200 | 0.590420 | helloweb-687c75f954-hjrqm
200 | 0.002921 | helloweb-687c75f954-hjrqm
200 | 0.003160 | helloweb-687c75f954-9cxss
200 | 0.353016 | helloweb-687c75f954-w9nth
200 | 0.352202 | helloweb-687c75f954-hjrqm
200 | 0.590443 | helloweb-687c75f954-w9nth
200 | 0.590234 | helloweb-687c75f954-9cxss
200 | 0.003786 | helloweb-687c75f954-w9nth
200 | 0.002423 | helloweb-687c75f954-9cxss
200 | 0.590583 | helloweb-687c75f954-w9nth
200 | 0.362693 | helloweb-687c75f954-w9nth
200 | 0.353167 | helloweb-687c75f954-hjrqm
200 | 0.352147 | helloweb-687c75f954-9cxss
200 | 0.352662 | helloweb-687c75f954-w9nth
200 | 0.001901 | helloweb-687c75f954-w9nth
200 | 0.590870 | helloweb-687c75f954-9cxss
200 | 0.353195 | helloweb-687c75f954-w9nth
200 | 0.352241 | helloweb-687c75f954-hjrqm
200 | 0.591192 | helloweb-687c75f954-w9nth
200 | 0.004653 | helloweb-687c75f954-w9nth
200 | 0.354299 | helloweb-687c75f954-hjrqm
200 | 0.590920 | helloweb-687c75f954-w9nth
200 | 0.590795 | helloweb-687c75f954-9cxss
200 | 0.352317 | helloweb-687c75f954-9cxss
200 | 0.352635 | helloweb-687c75f954-hjrqm
200 | 0.590761 | helloweb-687c75f954-hjrqm
200 | 0.590187 | helloweb-687c75f954-w9nth
200 | 0.590249 | helloweb-687c75f954-9cxss
200 | 0.590231 | helloweb-687c75f954-9cxss
200 | 0.352040 | helloweb-687c75f954-hjrqm
200 | 0.353051 | helloweb-687c75f954-hjrqm
200 | 0.352616 | helloweb-687c75f954-hjrqm
200 | 0.359228 | helloweb-687c75f954-w9nth
200 | 0.593348 | helloweb-687c75f954-w9nth
200 | 0.002271 | helloweb-687c75f954-hjrqm
200 | 0.002411 | helloweb-687c75f954-9cxss
200 | 0.590348 | helloweb-687c75f954-w9nth
200 | 0.352201 | helloweb-687c75f954-hjrqm
200 | 0.001971 | helloweb-687c75f954-hjrqm
200 | 0.590277 | helloweb-687c75f954-9cxss
200 | 0.590105 | helloweb-687c75f954-hjrqm
200 | 0.352076 | helloweb-687c75f954-hjrqm
200 | 0.352290 | helloweb-687c75f954-9cxss
200 | 0.002306 | helloweb-687c75f954-w9nth
200 | 0.002043 | helloweb-687c75f954-9cxss
200 | 0.002515 | helloweb-687c75f954-w9nth
200 | 0.001907 | helloweb-687c75f954-w9nth
200 | 0.352356 | helloweb-687c75f954-9cxss
200 | 0.002113 | helloweb-687c75f954-hjrqm
200 | 0.002320 | helloweb-687c75f954-9cxss
200 | 0.353536 | helloweb-687c75f954-hjrqm
200 | 0.002585 | helloweb-687c75f954-9cxss
200 | 0.002376 | helloweb-687c75f954-9cxss
200 | 0.352612 | helloweb-687c75f954-w9nth
200 | 0.352174 | helloweb-687c75f954-w9nth
200 | 0.352637 | helloweb-687c75f954-w9nth
200 | 0.002084 | helloweb-687c75f954-hjrqm
200 | 0.352158 | helloweb-687c75f954-hjrqm
200 | 0.352855 | helloweb-687c75f954-w9nth
200 | 0.352149 | helloweb-687c75f954-hjrqm
200 | 0.591258 | helloweb-687c75f954-hjrqm
200 | 0.002237 | helloweb-687c75f954-w9nth
200 | 0.352871 | helloweb-687c75f954-w9nth
200 | 0.353157 | helloweb-687c75f954-w9nth
200 | 0.353416 | helloweb-687c75f954-w9nth
200 | 0.352299 | helloweb-687c75f954-w9nth
200 | 0.352432 | helloweb-687c75f954-hjrqm
200 | 0.007625 | helloweb-687c75f954-hjrqm
200 | 0.002238 | helloweb-687c75f954-w9nth
200 | 0.352642 | helloweb-687c75f954-9cxss
200 | 0.002661 | helloweb-687c75f954-9cxss
200 | 0.352622 | helloweb-687c75f954-9cxss
200 | 0.002295 | helloweb-687c75f954-w9nth
