RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.002649 | helloweb-687c75f954-8xvcg
200 | 0.002032 | helloweb-687c75f954-hppvf
200 | 0.350549 | helloweb-687c75f954-8xvcg
200 | 0.003723 | helloweb-687c75f954-mqjxd
200 | 0.589748 | helloweb-687c75f954-hppvf
200 | 0.001921 | helloweb-687c75f954-hppvf
200 | 0.002107 | helloweb-687c75f954-8xvcg
200 | 0.002136 | helloweb-687c75f954-hppvf
200 | 0.350661 | helloweb-687c75f954-8xvcg
200 | 0.001852 | helloweb-687c75f954-mqjxd
200 | 0.002646 | helloweb-687c75f954-8xvcg
200 | 0.002291 | helloweb-687c75f954-hppvf
200 | 0.587266 | helloweb-687c75f954-hppvf
200 | 0.588497 | helloweb-687c75f954-mqjxd
200 | 0.350059 | helloweb-687c75f954-8xvcg
200 | 0.587428 | helloweb-687c75f954-hppvf
200 | 0.350761 | helloweb-687c75f954-mqjxd
200 | 0.350835 | helloweb-687c75f954-mqjxd
200 | 0.589115 | helloweb-687c75f954-hppvf
200 | 0.005873 | helloweb-687c75f954-8xvcg
200 | 0.587255 | helloweb-687c75f954-8xvcg
200 | 0.009353 | helloweb-687c75f954-mqjxd
200 | 0.586822 | helloweb-687c75f954-8xvcg
200 | 0.587080 | helloweb-687c75f954-mqjxd
200 | 0.587005 | helloweb-687c75f954-8xvcg
200 | 0.350877 | helloweb-687c75f954-hppvf
200 | 0.586924 | helloweb-687c75f954-mqjxd
200 | 0.350675 | helloweb-687c75f954-hppvf
200 | 0.586860 | helloweb-687c75f954-mqjxd
200 | 0.002045 | helloweb-687c75f954-hppvf
200 | 0.350321 | helloweb-687c75f954-hppvf
200 | 0.586832 | helloweb-687c75f954-8xvcg
200 | 0.350057 | helloweb-687c75f954-8xvcg
200 | 0.586826 | helloweb-687c75f954-8xvcg
200 | 0.588012 | helloweb-687c75f954-hppvf
200 | 0.586738 | helloweb-687c75f954-hppvf
200 | 0.587107 | helloweb-687c75f954-8xvcg
200 | 0.350453 | helloweb-687c75f954-hppvf
200 | 0.350112 | helloweb-687c75f954-mqjxd
200 | 0.587317 | helloweb-687c75f954-hppvf
200 | 0.586866 | helloweb-687c75f954-hppvf
200 | 0.587161 | helloweb-687c75f954-hppvf
200 | 0.005301 | helloweb-687c75f954-8xvcg
200 | 0.002137 | helloweb-687c75f954-mqjxd
200 | 0.588861 | helloweb-687c75f954-8xvcg
200 | 0.350116 | helloweb-687c75f954-8xvcg
200 | 0.350879 | helloweb-687c75f954-mqjxd
200 | 0.002159 | helloweb-687c75f954-8xvcg
200 | 0.002175 | helloweb-687c75f954-8xvcg
200 | 0.586669 | helloweb-687c75f954-mqjxd
200 | 0.002483 | helloweb-687c75f954-hppvf
200 | 0.588550 | helloweb-687c75f954-mqjxd
200 | 0.002426 | helloweb-687c75f954-8xvcg
200 | 0.587241 | helloweb-687c75f954-8xvcg
200 | 0.350134 | helloweb-687c75f954-mqjxd
200 | 0.587165 | helloweb-687c75f954-8xvcg
200 | 0.587060 | helloweb-687c75f954-mqjxd
200 | 0.586602 | helloweb-687c75f954-hppvf
200 | 0.350609 | helloweb-687c75f954-mqjxd
200 | 0.003561 | helloweb-687c75f954-8xvcg
200 | 0.002248 | helloweb-687c75f954-hppvf
200 | 0.001799 | helloweb-687c75f954-8xvcg
200 | 0.588506 | helloweb-687c75f954-8xvcg
200 | 0.350043 | helloweb-687c75f954-8xvcg
200 | 0.002111 | helloweb-687c75f954-8xvcg
200 | 0.350773 | helloweb-687c75f954-hppvf
200 | 0.350279 | helloweb-687c75f954-hppvf
200 | 0.586795 | helloweb-687c75f954-8xvcg
200 | 0.001894 | helloweb-687c75f954-mqjxd
200 | 0.351739 | helloweb-687c75f954-mqjxd
200 | 0.588339 | helloweb-687c75f954-mqjxd
200 | 0.353449 | helloweb-687c75f954-mqjxd
200 | 0.587419 | helloweb-687c75f954-hppvf
200 | 0.592643 | helloweb-687c75f954-hppvf
200 | 0.588136 | helloweb-687c75f954-hppvf
200 | 0.587909 | helloweb-687c75f954-8xvcg
200 | 0.002287 | helloweb-687c75f954-mqjxd
200 | 0.588293 | helloweb-687c75f954-hppvf
200 | 0.350379 | helloweb-687c75f954-hppvf
200 | 0.351148 | helloweb-687c75f954-mqjxd
200 | 0.349999 | helloweb-687c75f954-mqjxd
200 | 0.350247 | helloweb-687c75f954-hppvf
200 | 0.350358 | helloweb-687c75f954-mqjxd
200 | 0.352425 | helloweb-687c75f954-mqjxd
200 | 0.587451 | helloweb-687c75f954-hppvf
200 | 0.589428 | helloweb-687c75f954-hppvf
200 | 0.350198 | helloweb-687c75f954-mqjxd
200 | 0.002058 | helloweb-687c75f954-8xvcg
200 | 0.002231 | helloweb-687c75f954-hppvf
200 | 0.002054 | helloweb-687c75f954-8xvcg
200 | 0.003213 | helloweb-687c75f954-hppvf
200 | 0.003675 | helloweb-687c75f954-hppvf
200 | 0.351550 | helloweb-687c75f954-8xvcg
200 | 0.586904 | helloweb-687c75f954-mqjxd
200 | 0.351062 | helloweb-687c75f954-hppvf
200 | 0.350118 | helloweb-687c75f954-hppvf
200 | 0.350189 | helloweb-687c75f954-8xvcg
200 | 0.350992 | helloweb-687c75f954-mqjxd
200 | 0.002003 | helloweb-687c75f954-8xvcg
200 | 0.003027 | helloweb-687c75f954-hppvf
200 | 0.588130 | helloweb-687c75f954-hppvf
200 | 0.586911 | helloweb-687c75f954-hppvf
200 | 0.587226 | helloweb-687c75f954-mqjxd
200 | 0.587819 | helloweb-687c75f954-hppvf
200 | 0.350119 | helloweb-687c75f954-mqjxd
200 | 0.350342 | helloweb-687c75f954-mqjxd
200 | 0.586844 | helloweb-687c75f954-8xvcg
200 | 0.001965 | helloweb-687c75f954-8xvcg
200 | 0.590397 | helloweb-687c75f954-8xvcg
200 | 0.587557 | helloweb-687c75f954-hppvf
200 | 0.005860 | helloweb-687c75f954-8xvcg
200 | 0.349961 | helloweb-687c75f954-hppvf
200 | 0.586888 | helloweb-687c75f954-mqjxd
200 | 0.350188 | helloweb-687c75f954-8xvcg
200 | 0.002836 | helloweb-687c75f954-8xvcg
200 | 0.587710 | helloweb-687c75f954-hppvf
200 | 0.350180 | helloweb-687c75f954-8xvcg
200 | 0.002156 | helloweb-687c75f954-8xvcg
200 | 0.350384 | helloweb-687c75f954-hppvf
200 | 0.350415 | helloweb-687c75f954-8xvcg
200 | 0.350199 | helloweb-687c75f954-mqjxd
200 | 0.589186 | helloweb-687c75f954-8xvcg
200 | 0.349951 | helloweb-687c75f954-mqjxd
200 | 0.001810 | helloweb-687c75f954-hppvf
200 | 0.589170 | helloweb-687c75f954-8xvcg
200 | 0.352895 | helloweb-687c75f954-mqjxd
200 | 0.004654 | helloweb-687c75f954-mqjxd
200 | 0.350388 | helloweb-687c75f954-mqjxd
200 | 0.350226 | helloweb-687c75f954-hppvf
200 | 0.587252 | helloweb-687c75f954-hppvf
200 | 0.001841 | helloweb-687c75f954-8xvcg
200 | 0.002200 | helloweb-687c75f954-8xvcg
200 | 0.004658 | helloweb-687c75f954-8xvcg
200 | 0.587118 | helloweb-687c75f954-hppvf
200 | 0.001865 | helloweb-687c75f954-8xvcg
200 | 0.588074 | helloweb-687c75f954-8xvcg
200 | 0.003519 | helloweb-687c75f954-hppvf
200 | 0.587545 | helloweb-687c75f954-8xvcg
200 | 0.350438 | helloweb-687c75f954-hppvf
200 | 0.002654 | helloweb-687c75f954-mqjxd
200 | 0.586772 | helloweb-687c75f954-mqjxd
200 | 0.350949 | helloweb-687c75f954-mqjxd
200 | 0.587226 | helloweb-687c75f954-hppvf
200 | 0.351830 | helloweb-687c75f954-8xvcg
200 | 0.002077 | helloweb-687c75f954-hppvf
200 | 0.587898 | helloweb-687c75f954-mqjxd
200 | 0.003306 | helloweb-687c75f954-mqjxd
200 | 0.350168 | helloweb-687c75f954-hppvf
200 | 0.587367 | helloweb-687c75f954-8xvcg
200 | 0.349897 | helloweb-687c75f954-8xvcg
200 | 0.352347 | helloweb-687c75f954-mqjxd
200 | 0.352205 | helloweb-687c75f954-hppvf
200 | 0.350799 | helloweb-687c75f954-8xvcg
200 | 0.352394 | helloweb-687c75f954-8xvcg
200 | 0.350538 | helloweb-687c75f954-8xvcg
200 | 0.004703 | helloweb-687c75f954-mqjxd
200 | 0.350099 | helloweb-687c75f954-hppvf
200 | 0.587770 | helloweb-687c75f954-hppvf
200 | 0.002039 | helloweb-687c75f954-hppvf
200 | 0.002102 | helloweb-687c75f954-mqjxd
200 | 0.586903 | helloweb-687c75f954-8xvcg
200 | 0.002138 | helloweb-687c75f954-8xvcg
200 | 0.005200 | helloweb-687c75f954-8xvcg
200 | 0.001973 | helloweb-687c75f954-hppvf
200 | 0.006142 | helloweb-687c75f954-mqjxd
