RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.583662 | helloweb-687c75f954-2snfr
200 | 0.583539 | helloweb-687c75f954-lwkhz
200 | 0.001530 | helloweb-687c75f954-4f4ft
200 | 0.001351 | helloweb-687c75f954-2snfr
200 | 0.345006 | helloweb-687c75f954-lwkhz
200 | 0.584178 | helloweb-687c75f954-4f4ft
200 | 0.001731 | helloweb-687c75f954-4f4ft
200 | 0.583465 | helloweb-687c75f954-lwkhz
200 | 0.589146 | helloweb-687c75f954-2snfr
200 | 0.583320 | helloweb-687c75f954-4f4ft
200 | 0.584100 | helloweb-687c75f954-2snfr
200 | 0.001650 | helloweb-687c75f954-4f4ft
200 | 0.344010 | helloweb-687c75f954-lwkhz
200 | 0.344071 | helloweb-687c75f954-4f4ft
200 | 0.583943 | helloweb-687c75f954-2snfr
200 | 0.002026 | helloweb-687c75f954-2snfr
200 | 0.343735 | helloweb-687c75f954-4f4ft
200 | 0.583238 | helloweb-687c75f954-2snfr
200 | 0.583440 | helloweb-687c75f954-2snfr
200 | 0.001631 | helloweb-687c75f954-lwkhz
200 | 0.583640 | helloweb-687c75f954-lwkhz
200 | 0.002906 | helloweb-687c75f954-4f4ft
200 | 0.344756 | helloweb-687c75f954-2snfr
200 | 0.343879 | helloweb-687c75f954-4f4ft
200 | 0.001794 | helloweb-687c75f954-lwkhz
200 | 0.001440 | helloweb-687c75f954-2snfr
200 | 0.001569 | helloweb-687c75f954-2snfr
200 | 0.001748 | helloweb-687c75f954-2snfr
200 | 0.344381 | helloweb-687c75f954-4f4ft
200 | 0.001504 | helloweb-687c75f954-4f4ft
200 | 0.344007 | helloweb-687c75f954-4f4ft
200 | 0.344236 | helloweb-687c75f954-2snfr
200 | 0.002326 | helloweb-687c75f954-2snfr
200 | 0.343813 | helloweb-687c75f954-lwkhz
200 | 0.001752 | helloweb-687c75f954-4f4ft
200 | 0.584727 | helloweb-687c75f954-4f4ft
200 | 0.585397 | helloweb-687c75f954-lwkhz
200 | 0.344250 | helloweb-687c75f954-4f4ft
200 | 0.583423 | helloweb-687c75f954-lwkhz
200 | 0.590002 | helloweb-687c75f954-2snfr
200 | 0.343742 | helloweb-687c75f954-2snfr
200 | 0.001756 | helloweb-687c75f954-lwkhz
200 | 0.001699 | helloweb-687c75f954-4f4ft
200 | 0.584286 | helloweb-687c75f954-lwkhz
200 | 0.003455 | helloweb-687c75f954-4f4ft
200 | 0.583599 | helloweb-687c75f954-2snfr
200 | 0.583529 | helloweb-687c75f954-lwkhz
200 | 0.344290 | helloweb-687c75f954-4f4ft
200 | 0.344030 | helloweb-687c75f954-4f4ft
200 | 0.344156 | helloweb-687c75f954-2snfr
200 | 0.583437 | helloweb-687c75f954-4f4ft
200 | 0.583470 | helloweb-687c75f954-4f4ft
200 | 0.583545 | helloweb-687c75f954-2snfr
200 | 0.002554 | helloweb-687c75f954-4f4ft
200 | 0.001604 | helloweb-687c75f954-4f4ft
200 | 0.343738 | helloweb-687c75f954-4f4ft
200 | 0.001805 | helloweb-687c75f954-lwkhz
200 | 0.344147 | helloweb-687c75f954-lwkhz
200 | 0.343690 | helloweb-687c75f954-4f4ft
200 | 0.343981 | helloweb-687c75f954-lwkhz
200 | 0.588601 | helloweb-687c75f954-2snfr
200 | 0.004031 | helloweb-687c75f954-lwkhz
200 | 0.583560 | helloweb-687c75f954-lwkhz
